Series 1;Series 2;Series 3;Series 4;Series 5
40665.8;44.2;102.7522703;11.77;322
39264.392;44.3;102.5532891;11.74;317
48963.885;44.4;99.90927665;11.42;319
46124.425;43.4;98.54206922;11.55;323
47883.199;42.8;97.61962026;11.55;327
50554.571;44.3;98.25400351;11.31;328
54026.538;44.4;98.35536426;10.94;325
54735.918;44.8;99.57776254;10.78;326
46918.744;44.4;101.1248947;10.69;330
49220.347;43.1;100.1473883;10.64;334
46742.038;42.6;100.6481517;10.55;337
47700.305;42.4;99.43199587;10.47;341
44687.19;42.2;99.17183433;10.4;322
41896.823;41.8;99.18995967;10.21;318
50985.658;40.1;99.494226;10.04;320
49212.746;42;101.9866004;9.87;326
49824.307;42.4;104.4248535;9.84;332
52881.186;43.1;104.5840573;9.74;334
54957.67;42.4;104.8604078;9.89;335
56585.046;43.1;105.4163907;9.84;336
47709.592;43.2;105.5079104;9.74;335
50595.784;42.8;103.0231459;9.57;338
48310.52;43;103.2233943;9.45;342
49158.213;42.8;103.7395555;9.28;348
45722.827;42.5;104.6275952;9.14;330
47130.093;42.6;103.6406631;8.87;326
55909.079;42.3;104.3081867;8.77;329
52390.127;42.9;102.564376;8.84;337
53777.332;43.6;103.2548228;8.99;345
56095.234;44.7;102.5882089;9.05;350
58058.659;44.5;103.2940193;9.01;351
59802.408;45;102.4357044;9.01;354
49758.328;44.8;100.7207625;9.03;355
53679.75;44.9;101.1971044;8.86;357
48464.209;45.2;101.1102561;8.92;362
53181.172;45.2;99.72243915;8.78;368
49228.75;45;98.38825905;;348
47152.265;45.5;97.57348026;;345
58163.01;46.2;97.75672788;;349
53944.329;46.8;99.12782568;;355
55635.847;47.5;99.65564177;;362
58172.771;48.3;100.2101129;;367
61153.8;48.3;98.79005816;;366
61907.945;49.1;97.99187508;;370
51761.004;48.9;97.6808655;;371
55026.915;49.4;97.93828992;;375
51524.528;50;97.3783452;;380
53801.076;50;96.68436683;;385
;49.6;97.62021364;;361
;49.9;98.92993995;;354
;49.6;99.39247792;;357
;50.7;99.38840107;;367
;50.7;98.6903049;;376
;50.9;99.66475419;;381
;50.5;99.67086146;;381
;51.2;99.99063106;;383
;50.7;101.6607095;;384
;50.3;101.1944039;;387
;49.2;101.0782021;;392
;48.1;100.6499647;;396
;;100.9228046;;
;;101.9167191;;
;;100.4204314;;
;;99.93620178;;
;;100.2462824;;
;;99.7486491;;
;;98.91878972;;
;;98.84664159;;
;;99.79701608;;
;;98.4219096;;
;;98.31123727;;
;;98.94889092;;
;;97.93573122;;
;;98.73959415;;
;;97.96389418;;
;;97.74444544;;
;;98.82050264;;
;;99.12835944;;
;;98.81001624;;
;;100.2668366;;
;;98.68674826;;
;;97.75454753;;
;;99.84866754;;
;;100.2077754;;
;;100.1613215;;
;;99.50949325;;
;;100.2946157;;
;;99.32568545;;
;;98.5434974;;
;;97.39017828;;
;;96.81287907;;
;;95.74633273;;
;;96.98677612;;
;;95.62883329;;
;;95.57262925;;
;;94.8411881;;
;;98.13928265;;
;;98.5450223;;
;;98.1626382;;
;;98.6687342;;
;;98.47622681;;
;;99.53157242;;
;;98.53158627;;
;;98.74490802;;
;;101.1275471;;
;;100.2941057;;
;;101.1039183;;
;;99.87816188;;
;;99.68334394;;
;;100.8468878;;
;;100.5366872;;
;;100.5049158;;
;;98.60361455;;
;;98.2229951;;
;;96.81090294;;
;;97.16791152;;
;;97.31335371;;
;;98.69810062;;
;;98.83863111;;
;;99.16410769;;
